client_id,mode,country,n_train,n_test,acc,f1,auc
3,iid,IID,2605,9769,0.8470672535571706,0.6933497536945813,0.9076900700012974
5,iid,IID,2605,9769,0.8464530658204524,0.696969696969697,0.9100783380467855
0,iid,IID,2605,9769,0.8492169106356843,0.6974738139248305,0.9081099580641474
1,iid,IID,2605,9769,0.8463507011976661,0.6987758378486856,0.9100232547190066
2,iid,IID,2605,9769,0.8444057733647251,0.693795326349718,0.9064957633035445
4,iid,IID,2605,9769,0.8409253761899887,0.6909307875894988,0.9087271561036183
6,iid,IID,2605,9769,0.8452246903470161,0.6962635596625151,0.9099484288818981
7,iid,IID,2605,9769,0.8474767120483161,0.6960424316605467,0.9091076742644822
8,iid,IID,2605,9769,0.8423584809089979,0.6912590216519647,0.9093050993577757
9,iid,IID,2605,9769,0.8464530658204524,0.6899545266639107,0.906484712102987
11,iid,IID,2605,9769,0.8396970007165524,0.6847826086956522,0.9035189324908635
10,iid,IID,2605,9769,0.8348858634455932,0.686491739552964,0.905958485013939
14,iid,IID,2604,9769,0.8399017299621251,0.686321700762134,0.9062592560999462
12,iid,IID,2605,9769,0.8417442931722796,0.6927662957074722,0.9073541595510173
13,iid,IID,2604,9769,0.8538233186610708,0.7044701986754967,0.9085038297590182
