client_id,mode,country,n_train,n_test,acc,f1,auc
2,iid,IID,953,9769,0.8433821271368614,0.677487352445194,0.8962718774919163
5,iid,IID,953,9769,0.8335551233493704,0.6630750103605471,0.8902921707194066
3,iid,IID,953,9769,0.8422561162862114,0.6751001475859161,0.8968719231471884
4,iid,IID,953,9769,0.8325314771215068,0.665439672801636,0.8935543182048153
1,iid,IID,953,9769,0.8409253761899887,0.6542056074766355,0.888670464595925
0,iid,IID,953,9769,0.8321220186303614,0.6437880104257168,0.8838670487619258
6,iid,IID,953,9769,0.8407206469444161,0.6660944206008583,0.8917982709245562
10,iid,IID,953,9769,0.8409253761899887,0.6731173748422381,0.8975187637298216
7,iid,IID,953,9769,0.8300747261746341,0.6511139134089954,0.8849990773398699
8,iid,IID,953,9769,0.8250588596581021,0.6298462204894953,0.8830688297549892
9,iid,IID,953,9769,0.8388780837342614,0.6616509028374893,0.8932672747820007
11,iid,IID,953,9769,0.8384686252431159,0.6534914361001317,0.8906727752177748
12,iid,IID,953,9769,0.8254683181492476,0.6502564102564102,0.8853278793356248
14,iid,IID,953,9769,0.8372402497696796,0.6472937000887311,0.8903828250989803
13,iid,IID,953,9769,0.8280274337189067,0.6673267326732674,0.8951838522620253
15,iid,IID,953,9769,0.8366260620329614,0.6610025488530161,0.889903191483116
17,iid,IID,953,9769,0.8338622172177296,0.6703229737964655,0.8946070026162567
16,iid,IID,953,9769,0.8349882280683796,0.6623376623376623,0.8933297255768181
18,iid,IID,953,9769,0.8315078308936431,0.6533277169334457,0.891316047183561
19,iid,IID,953,9769,0.8364213327873887,0.6672219908371512,0.8943456877697399
20,iid,IID,953,9769,0.8424608455317842,0.6722044728434505,0.8906067558061108
21,iid,IID,953,9769,0.8393899068481933,0.6478114478114478,0.8885111143420523
22,iid,IID,953,9769,0.8377520728836114,0.6570006492101277,0.8905412256403048
24,iid,IID,953,9769,0.8297676323062749,0.6526007938165866,0.8926286938206176
25,iid,IID,953,9769,0.8396970007165524,0.6488789237668161,0.891990976234278
23,iid,IID,953,9769,0.8352953219367386,0.6696776842537466,0.8957059927092007
26,iid,IID,953,9769,0.8256730473948204,0.6461666320382298,0.8814998182883326
27,iid,IID,953,9769,0.8258777766403931,0.6539165818921668,0.8890771142414403
28,iid,IID,953,9769,0.8276179752277613,0.6568867155664222,0.8881276894852087
30,iid,IID,953,9769,0.8323267478759341,0.6505972696245734,0.8873160881650966
29,iid,IID,953,9769,0.8259801412631794,0.6621621621621622,0.8943378022776753
32,iid,IID,953,9769,0.8329409356126523,0.6636438582028029,0.888588933212645
31,iid,IID,953,9769,0.8362166035418159,0.6595744680851063,0.8919817093421437
33,iid,IID,953,9769,0.8285392568328386,0.6537109778788506,0.8903246048418763
34,iid,IID,953,9769,0.8355000511823114,0.6617554199115976,0.8956140432670617
35,iid,IID,953,9769,0.8418466577950661,0.659766571239815,0.8949889597355263
37,iid,IID,953,9769,0.8384686252431159,0.6622431506849316,0.8924086195220149
38,iid,IID,953,9769,0.8252635889036749,0.6463642013673089,0.8822536598180305
39,iid,IID,953,9769,0.8384686252431159,0.6689047419219472,0.8964728136437201
36,iid,IID,953,9769,0.8391851776026206,0.6675132275132275,0.8857166571177386
40,iid,IID,953,9769,0.8241375780530249,0.6202475685234305,0.8783692491595619
