client_id,mode,country,n_train,n_test,acc,f1,auc
2,iid,IID,2605,9769,0.8513665677141979,0.6725304465493911,0.9017145074289968
3,iid,IID,2605,9769,0.8559729757395844,0.6746820809248555,0.9028341609646502
0,iid,IID,2605,9769,0.8542327771522162,0.665098777046096,0.9035974132823228
4,iid,IID,2605,9769,0.8502405568635479,0.6724871278262816,0.9045960504160373
1,iid,IID,2605,9769,0.8532091309243526,0.6745347253744893,0.904168823665317
6,iid,IID,2605,9769,0.8515712969597707,0.6735704637550652,0.9034682235966386
5,iid,IID,2605,9769,0.8507523799774798,0.6604564508616675,0.9030386081749644
9,iid,IID,2605,9769,0.8538233186610708,0.6688311688311688,0.9007644207518983
7,iid,IID,2605,9769,0.8509571092230526,0.670737222976029,0.9011635590345348
8,iid,IID,2605,9769,0.8505476507319071,0.6693840579710145,0.9031789929570468
10,iid,IID,2605,9769,0.8445081379875116,0.664457698254915,0.9021629732057886
12,iid,IID,2605,9769,0.846043607329307,0.6603432700993677,0.9022129050624743
13,iid,IID,2604,9769,0.8592486436687481,0.680455496165466,0.9027151303253116
11,iid,IID,2605,9769,0.8503429214863343,0.6672735548475194,0.8975916613626659
14,iid,IID,2604,9769,0.8485003582761798,0.6663660955816051,0.9022836154785417
0,iid,IID,7815,9769,0.8659023441498618,0.6981566820276498,0.9155749864824247
3,iid,IID,7814,9769,0.8609888422561163,0.6892448512585813,0.9161022784006932
2,iid,IID,7815,9769,0.8649810625447846,0.7009748356381773,0.9174363079596617
1,iid,IID,7815,9769,0.8615006653700481,0.6871676300578035,0.9173730513481372
4,iid,IID,7814,9769,0.8625243115979118,0.6887601390498261,0.9186874822936169
0,iid,IID,7815,9769,0.8494216398812571,0.7177125311840338,0.9201886612610181
3,iid,IID,7814,9769,0.8408230115672024,0.706880301602262,0.920072163188474
1,iid,IID,7815,9769,0.8429726686457161,0.7082540890072271,0.9216775515236324
2,iid,IID,7815,9769,0.8449175964786569,0.7112635791881075,0.9220448888254981
4,iid,IID,7814,9769,0.8478861705394616,0.7158699808795411,0.9219314701239427
