timestamp,strategy,round,metric,value
2025-12-04 17:07:50,bagging,1,auc,0.9063203830530299
2025-12-04 17:07:50,bagging,1,f1,0.6187394485087225
2025-12-04 17:07:50,bagging,2,auc,0.9084966637461567
2025-12-04 17:07:50,bagging,2,f1,0.6389174878658627
2025-12-04 17:07:50,bagging,3,auc,0.9101252193116507
2025-12-04 17:07:50,bagging,3,f1,0.6490622655663916
2025-12-04 17:07:50,bagging,4,auc,0.9128645068706809
2025-12-04 17:07:50,bagging,4,f1,0.6569989314608455
2025-12-04 17:07:50,bagging,5,auc,0.9152211466104069
2025-12-04 17:07:50,bagging,5,f1,0.6623356535189482
2025-12-04 17:07:50,bagging,6,auc,0.9167264697780171
2025-12-04 17:07:50,bagging,6,f1,0.6646976527281206
2025-12-04 17:07:50,bagging,7,auc,0.918106027980949
2025-12-04 17:07:50,bagging,7,f1,0.6667711598746081
2025-12-04 17:07:50,bagging,8,auc,0.9189736623413878
2025-12-04 17:07:50,bagging,8,f1,0.6701454775458571
2025-12-04 17:07:50,bagging,9,auc,0.9199751773919143
2025-12-04 17:07:50,bagging,9,f1,0.6720609233698239
2025-12-04 17:07:50,bagging,10,auc,0.9206391703587461
2025-12-04 17:07:50,bagging,10,f1,0.6758488148622677
